,Unnamed: 0,單位（12級）,一二級單位,單位序,原序,公文文號,登記單位,來文者/發文者,來文字號,來文日期,主旨,單位（僅一級）,單位（12級）.1,（承辦人）,承辦人員,發文時間,發文字號,年度號,分類號,案次號,卷次號,目次號,保存年限,媒體形式,數量（頁）,五層檔號,是否掃描,文件產生日期,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,0
0,0,人事室,人事室,1.0,1.0,850010371.0,總收文,桃園縣政府,85府教社字第22471號,085/02/01,檢送本縣各界慶祝八十五年青年節表揚社會優秀青年辦法及推荐表各乙份，請貴單位貴校鼓勵踴躍推荐，請查照。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,85.0,204.0,1.0,1.0,21.0,5.0,紙本,4.0,0085/204/01/1/21,（已掃描）,085/02/01,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
1,1,人事室,人事室,2.0,2.0,840014313.0,總收文,桃園縣政府,84府教社字第274420號,084/12/18,檢送中華民國八十五年孝行獎頒獎大會實施計畫、候選人推荐書、教忠教孝績優團體特別獎推荐書各乙份，請查照。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,85.0,204.0,1.0,1.0,28.0,5.0,紙本,6.0,0085/204/01/1/28,（已掃描）,084/12/18,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
2,2,人事室,人事室,3.0,3.0,850011015.0,總收文,台灣省菸酒公賣局桃園分局,公桃局業字第1323號,085/03/28,檢送本分局八十五年度台灣啤酒盃桌球錦標賽規程一份，敬請貴單位踴躍報名參加，請查照。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,85.0,204.0,1.0,1.0,34.0,5.0,紙本,6.0,0085/204/01/1/34,（已掃描）,085/03/28,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
3,3,人事室,人事室,4.0,4.0,850000114.0,人事室,國立中央大學,,         ,本校教職員警工三慧社（佛學社團，擬訂於本（八十五）年二月三日（星期六），赴貴校參訪，惠請允予安排參訪行程。,人事室,人事室,(張惠珍),張惠珍,085/01/15,(85)中大人字第0120號                          ,85.0,204.0,1.0,1.0,51.0,5.0,紙本,2.0,0085/204/01/1/51,（已掃描）,         085/01/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
4,4,人事室,人事室,5.0,5.0,850003616.0,人事室,國立中央大學,,         ,教育部函轉內政部舉辦「點亮智慧之光」全省巡迴講座活動，敬希鼓勵本校同仁踴躍參加，隨文檢附內政部八十五年十月二十八日台(85)內著字第八五一七○五四號函影本一份，請查照。,人事室,人事室,(張惠珍),張惠珍,085/11/15,(85)中大人字第3612號                          ,85.0,204.0,1.0,4.0,13.0,5.0,紙本,1.0,0085/204/01/4/13,（已掃描）,         085/11/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
5,5,人事室,人事室,6.0,6.0,850014416.0,總收文,桃園縣政府,85府教社字第269208號,085/11/27,檢送「中華民國八十六年孝行獎頒獎大會實施計畫」乙份，請推薦貴轄、校、單位孝行楷模，並於八十五年十二月二十日前函送本府彙辦，請查照。,人事室,人事室,(李美惠),李美惠,,                                        ,85.0,204.0,1.0,4.0,31.0,5.0,紙本,7.0,0085/204/01/4/31,（已掃描）,085/11/27,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
6,6,人事室,人事室,7.0,7.0,850014166.0,總收文,嘉義縣私立協志高級工業家事職業學校,協志工家秘字第0862號,085/11/11,檢送台灣省第三屆「教育杯」業餘高爾夫球邀請賽比賽辦法暨報名表、火車時刻表、住宿旅館參考資料各乙份，請鼓勵貴屬教職員踴躍報名參加，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,204.0,1.0,5.0,18.0,5.0,紙本,7.0,0085/204/01/5/18,（已掃描）,085/11/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
7,7,人事室,人事室,8.0,8.0,850014084.0,總收文,中原大學,(85)原秘字第2395號,085/11/06,請組隊參加「第九屆全國大學院校教職員橋藝錦標賽」及「橋藝雙人邀請賽」，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,204.0,1.0,5.0,19.0,5.0,紙本,10.0,0085/204/01/5/19,（已掃描）,085/11/06,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
8,8,人事室,人事室,9.0,9.0,850014444.0,總收文,桃園縣政府,85府教社字第264387號,085/11/28,為期加強社會教育機構推展宗教教育功能，請於貴單位舉辦之有關講座或活動中，辦理宗教教育演講及活動，使國人對宗教有正確之瞭解，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,204.0,1.0,5.0,20.0,5.0,紙本,2.0,0085/204/01/5/20,（已掃描）,085/11/28,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
9,9,人事室,人事室,10.0,10.0,850013420.0,總收文,桃園縣立體育場,85桃縣體活字第3318號,085/09/23,檢送本縣八十五年縣長杯慢速壘球錦標賽競賽規程實施要點乙份，敬請貴屬踴躍組隊報名參加，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,204.0,1.0,5.0,21.0,5.0,紙本,4.0,0085/204/01/5/21,（已掃描）,085/09/23,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
