,單位（12級）,單位序,序,文號,主旨,附件,附件名稱,不歸檔原因,承辦單位,承辦人,保存狀況,0
0,人事室校務人力組,,1,1081800776,檢附科技部補助延攬之博士後研究人才撥款申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室校務人力組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1,人事室校務人力組,,2,1081800846,檢附科技部補助延攬之博士級研究人員撥款申請名冊，請惠予核章。,附件1,撥款名用,案件未辦結另案歸檔,人事室校務人力組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
2,人事室校務人力組,,3,1081800905,檢附科技部補助延攬之博士級研究人員撥款名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室校務人力組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
3,人事室校務人力組,,4,1081800925,檢附科技部補助延攬之博士級研究人員撥款名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室校務人力組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
4,,,,,,,,,,,, 
5,,,,,,,,,,,, 
6,,,,,,,,,,,, 
7,,,,,,,,,,,, 
8,人事室第一組,,5,1079901010,檢送本部民國106年12月編印之「銓敘法規釋例彙編（上、下冊）」，請參考。,附件1,銓敘法規釋例彙編（上、下冊）,單位自存,人事室第一組,何家蓉,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
9,人事室第一組,,6,1081800340,檢陳本校太空及遙測研究中心技佐許祐誠擬任人員送審書及相關表件各個1份，送審書用印後隨其他附件寄送銓敘部辦理銓敘審定，不另發函。,附件1,許祐誠送審相關資料,單位抽存(存查單位：人事室),人事室第一組,林淑珮,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
10,人事室第一組,,7,1081800369,檢陳本校人事室組員李文娟擬任人員送審書及相關表件各1份，送審書用印後隨其他附件寄送銓敘部辦理銓敘審定，不另發函。,附件1,李文娟送審相關資料,單位抽存(存查單位：人事室),人事室第一組,林淑珮,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
11,人事室第一組,,8,1081800674,檢陳本校人事室組員李文娟公務人員試用期滿成績送審書1式3份及試用人員成績考核表1份，用印後送教育部人事處核備。,附件1,公務人員試用成績期滿成績送審書,單位抽存(存查單位：抽存單位人事室),人事室第一組,林淑珮,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
12,人事室第一組,,9,1081800674,檢陳本校人事室組員李文娟公務人員試用期滿成績送審書1式3份及試用人員成績考核表1份，用印後送教育部人事處核備。,附件2,試用人員成績考核表,單位抽存(存查單位：抽存單位人事室),人事室第一組,林淑珮,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
13,人事室第一組,,10,1071800255,檢送貴單位107學年度推薦續合聘教研人員、再聘兼任教研人員名冊資料，請提系級、院級教評會審議(報告)，並經主管簽章後，於107年5月31日前送回人事室，並請填具「國立中央大學兼任教師勞、健保暨勞工退休金(離職儲金)調查表」併同擲回，請查照。,附件1,107學年度推薦再聘兼任教研人員名冊,單位自存,人事室第一組,徐欣如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
14,人事室第一組,,11,1071800255,檢送貴單位107學年度推薦續合聘教研人員、再聘兼任教研人員名冊資料，請提系級、院級教評會審議(報告)，並經主管簽章後，於107年5月31日前送回人事室，並請填具「國立中央大學兼任教師勞、健保暨勞工退休金(離職儲金)調查表」併同擲回，請查照。,附件2,107學年度推薦續合聘教研人員名冊,單位自存,人事室第一組,徐欣如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
15,人事室第一組,,12,1071800288,檢送貴單位「專任(案)教研人員106學年度年資晉薪、107學年度續聘確認名冊」，請確認並經系、院級單位主管核章後，於107年5月19日前送回人事室，請查照。,附件1,專任(案)教研人員年資晉薪、續聘確認名冊,單位自存,人事室第一組,徐欣如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
16,人事室第一組,,13,1081800493,本校108學年度教師及研究人員續聘案業經107學年度第6次及第8次校教評會審議通過，彙整如附件，擬陳核後繕製聘書並用印轉致，請核示。,附件1,108學年度續聘教師名冊,單位抽存(存查單位：人事室),人事室第一組,徐欣如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
17,人事室第一組,,14,1070004452,有關「本（107）年度第1季(截至本年3月31日)臨時人員人數調查表」、「教育部所屬國立大專校院107年第1季進用契僱人員人數統計表」及「教育部所屬國立大專校院106年第4季至107年第1季臨時人員進用情形調查表」，請於107年4月12日（星期四）下午5時前填報，請查照並依說明事項辦理。,附件1,106年第4季至107年第1季臨時人員進用情形調查,單位自存,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
18,人事室第一組,,15,1070004452,有關「本（107）年度第1季(截至本年3月31日)臨時人員人數調查表」、「教育部所屬國立大專校院107年第1季進用契僱人員人數統計表」及「教育部所屬國立大專校院106年第4季至107年第1季臨時人員進用情形調查表」，請於107年4月12日（星期四）下午5時前填報，請查照並依說明事項辦理。,附件2,107年度第1季臨時人員人數調查表,單位自存,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
19,人事室第一組,,16,1070004452,有關「本（107）年度第1季(截至本年3月31日)臨時人員人數調查表」、「教育部所屬國立大專校院107年第1季進用契僱人員人數統計表」及「教育部所屬國立大專校院106年第4季至107年第1季臨時人員進用情形調查表」，請於107年4月12日（星期四）下午5時前填報，請查照並依說明事項辦理。,附件3,107年第1季進用契僱人員人數統計表,單位自存,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
